id,name,producerName,id,name,subscribersCount,macroCategories,data
0,Totale,PagoPa S.p.A.,1,Altre Pubbliche Amministrazioni locali,1,"{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":1}","{""producerName"":""PagoPa S.p.A."",""macroCategories"":{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":1}}"
0,Totale,PagoPa S.p.A.,2,Aziende Ospedaliere e ASL,1,"{""id"":""2"",""name"":""Aziende Ospedaliere e ASL"",""subscribersCount"":1}","{""producerName"":""PagoPa S.p.A."",""macroCategories"":{""id"":""2"",""name"":""Aziende Ospedaliere e ASL"",""subscribersCount"":1}}"
0,Totale,PagoPa S.p.A.,3,Comuni,2480,"{""id"":""3"",""name"":""Comuni"",""subscribersCount"":2480}","{""producerName"":""PagoPa S.p.A."",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":2480}}"
0,Totale,PagoPa S.p.A.,4,Province e Città Metropolitane,1,"{""id"":""4"",""name"":""Province e Città Metropolitane"",""subscribersCount"":1}","{""producerName"":""PagoPa S.p.A."",""macroCategories"":{""id"":""4"",""name"":""Province e Città Metropolitane"",""subscribersCount"":1}}"
0,Totale,PagoPa S.p.A.,12,Stazioni Appaltanti e Gestori di pubblici servizi,5,"{""id"":""12"",""name"":""Stazioni Appaltanti e Gestori di pubblici servizi"",""subscribersCount"":5}","{""producerName"":""PagoPa S.p.A."",""macroCategories"":{""id"":""12"",""name"":""Stazioni Appaltanti e Gestori di pubblici servizi"",""subscribersCount"":5}}"
0,Totale,Agenzia per L'Italia Digitale,1,Altre Pubbliche Amministrazioni locali,10,"{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":10}","{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":10}}"
0,Totale,Agenzia per L'Italia Digitale,2,Aziende Ospedaliere e ASL,5,"{""id"":""2"",""name"":""Aziende Ospedaliere e ASL"",""subscribersCount"":5}","{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""2"",""name"":""Aziende Ospedaliere e ASL"",""subscribersCount"":5}}"
0,Totale,Agenzia per L'Italia Digitale,3,Comuni,159,"{""id"":""3"",""name"":""Comuni"",""subscribersCount"":159}","{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":159}}"
0,Totale,Agenzia per L'Italia Digitale,4,Province e Città Metropolitane,11,"{""id"":""4"",""name"":""Province e Città Metropolitane"",""subscribersCount"":11}","{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""4"",""name"":""Province e Città Metropolitane"",""subscribersCount"":11}}"
0,Totale,Agenzia per L'Italia Digitale,5,Pubbliche Amministrazioni Centrali,8,"{""id"":""5"",""name"":""Pubbliche Amministrazioni Centrali"",""subscribersCount"":8}","{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""5"",""name"":""Pubbliche Amministrazioni Centrali"",""subscribersCount"":8}}"
0,Totale,Agenzia per L'Italia Digitale,6,Enti Nazionali di Previdenza ed Assistenza Sociale,2,"{""id"":""6"",""name"":""Enti Nazionali di Previdenza ed Assistenza Sociale"",""subscribersCount"":2}","{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""6"",""name"":""Enti Nazionali di Previdenza ed Assistenza Sociale"",""subscribersCount"":2}}"
0,Totale,Agenzia per L'Italia Digitale,7,Regioni e Province autonome,14,"{""id"":""7"",""name"":""Regioni e Province autonome"",""subscribersCount"":14}","{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""7"",""name"":""Regioni e Province autonome"",""subscribersCount"":14}}"
0,Totale,Agenzia per L'Italia Digitale,12,Stazioni Appaltanti e Gestori di pubblici servizi,8,"{""id"":""12"",""name"":""Stazioni Appaltanti e Gestori di pubblici servizi"",""subscribersCount"":8}","{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""12"",""name"":""Stazioni Appaltanti e Gestori di pubblici servizi"",""subscribersCount"":8}}"
0,Totale,Ministero dell'Interno,1,Altre Pubbliche Amministrazioni locali,3,"{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":3}","{""producerName"":""Ministero dell'Interno"",""macroCategories"":{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":3}}"
0,Totale,Ministero dell'Interno,3,Comuni,128,"{""id"":""3"",""name"":""Comuni"",""subscribersCount"":128}","{""producerName"":""Ministero dell'Interno"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":128}}"
0,Totale,Ministero dell'Interno,4,Province e Città Metropolitane,1,"{""id"":""4"",""name"":""Province e Città Metropolitane"",""subscribersCount"":1}","{""producerName"":""Ministero dell'Interno"",""macroCategories"":{""id"":""4"",""name"":""Province e Città Metropolitane"",""subscribersCount"":1}}"
0,Totale,Ministero dell'Interno,5,Pubbliche Amministrazioni Centrali,4,"{""id"":""5"",""name"":""Pubbliche Amministrazioni Centrali"",""subscribersCount"":4}","{""producerName"":""Ministero dell'Interno"",""macroCategories"":{""id"":""5"",""name"":""Pubbliche Amministrazioni Centrali"",""subscribersCount"":4}}"
0,Totale,Ministero dell'Interno,6,Enti Nazionali di Previdenza ed Assistenza Sociale,2,"{""id"":""6"",""name"":""Enti Nazionali di Previdenza ed Assistenza Sociale"",""subscribersCount"":2}","{""producerName"":""Ministero dell'Interno"",""macroCategories"":{""id"":""6"",""name"":""Enti Nazionali di Previdenza ed Assistenza Sociale"",""subscribersCount"":2}}"
0,Totale,Ministero dell'Interno,7,Regioni e Province autonome,2,"{""id"":""7"",""name"":""Regioni e Province autonome"",""subscribersCount"":2}","{""producerName"":""Ministero dell'Interno"",""macroCategories"":{""id"":""7"",""name"":""Regioni e Province autonome"",""subscribersCount"":2}}"
0,Totale,Ministero dell'Interno,9,Scuole,1,"{""id"":""9"",""name"":""Scuole"",""subscribersCount"":1}","{""producerName"":""Ministero dell'Interno"",""macroCategories"":{""id"":""9"",""name"":""Scuole"",""subscribersCount"":1}}"
0,Totale,Ministero dell'Interno,10,Università e AFAM,1,"{""id"":""10"",""name"":""Università e AFAM"",""subscribersCount"":1}","{""producerName"":""Ministero dell'Interno"",""macroCategories"":{""id"":""10"",""name"":""Università e AFAM"",""subscribersCount"":1}}"
0,Totale,Ministero dell'Interno,12,Stazioni Appaltanti e Gestori di pubblici servizi,1,"{""id"":""12"",""name"":""Stazioni Appaltanti e Gestori di pubblici servizi"",""subscribersCount"":1}","{""producerName"":""Ministero dell'Interno"",""macroCategories"":{""id"":""12"",""name"":""Stazioni Appaltanti e Gestori di pubblici servizi"",""subscribersCount"":1}}"
0,Totale,Ministero dell'Interno,13,Privati,60,"{""id"":""13"",""name"":""Privati"",""subscribersCount"":60}","{""producerName"":""Ministero dell'Interno"",""macroCategories"":{""id"":""13"",""name"":""Privati"",""subscribersCount"":60}}"
0,Totale,Autorita' Nazionale Anticorruzione - A.N.AC.,1,Altre Pubbliche Amministrazioni locali,9,"{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":9}","{""producerName"":""Autorita' Nazionale Anticorruzione - A.N.AC."",""macroCategories"":{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":9}}"
0,Totale,Autorita' Nazionale Anticorruzione - A.N.AC.,2,Aziende Ospedaliere e ASL,1,"{""id"":""2"",""name"":""Aziende Ospedaliere e ASL"",""subscribersCount"":1}","{""producerName"":""Autorita' Nazionale Anticorruzione - A.N.AC."",""macroCategories"":{""id"":""2"",""name"":""Aziende Ospedaliere e ASL"",""subscribersCount"":1}}"
0,Totale,Autorita' Nazionale Anticorruzione - A.N.AC.,3,Comuni,13,"{""id"":""3"",""name"":""Comuni"",""subscribersCount"":13}","{""producerName"":""Autorita' Nazionale Anticorruzione - A.N.AC."",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":13}}"
0,Totale,Autorita' Nazionale Anticorruzione - A.N.AC.,4,Province e Città Metropolitane,3,"{""id"":""4"",""name"":""Province e Città Metropolitane"",""subscribersCount"":3}","{""producerName"":""Autorita' Nazionale Anticorruzione - A.N.AC."",""macroCategories"":{""id"":""4"",""name"":""Province e Città Metropolitane"",""subscribersCount"":3}}"
0,Totale,Autorita' Nazionale Anticorruzione - A.N.AC.,5,Pubbliche Amministrazioni Centrali,2,"{""id"":""5"",""name"":""Pubbliche Amministrazioni Centrali"",""subscribersCount"":2}","{""producerName"":""Autorita' Nazionale Anticorruzione - A.N.AC."",""macroCategories"":{""id"":""5"",""name"":""Pubbliche Amministrazioni Centrali"",""subscribersCount"":2}}"
0,Totale,Autorita' Nazionale Anticorruzione - A.N.AC.,7,Regioni e Province autonome,9,"{""id"":""7"",""name"":""Regioni e Province autonome"",""subscribersCount"":9}","{""producerName"":""Autorita' Nazionale Anticorruzione - A.N.AC."",""macroCategories"":{""id"":""7"",""name"":""Regioni e Province autonome"",""subscribersCount"":9}}"
0,Totale,Autorita' Nazionale Anticorruzione - A.N.AC.,9,Scuole,3,"{""id"":""9"",""name"":""Scuole"",""subscribersCount"":3}","{""producerName"":""Autorita' Nazionale Anticorruzione - A.N.AC."",""macroCategories"":{""id"":""9"",""name"":""Scuole"",""subscribersCount"":3}}"
0,Totale,Autorita' Nazionale Anticorruzione - A.N.AC.,12,Stazioni Appaltanti e Gestori di pubblici servizi,10,"{""id"":""12"",""name"":""Stazioni Appaltanti e Gestori di pubblici servizi"",""subscribersCount"":10}","{""producerName"":""Autorita' Nazionale Anticorruzione - A.N.AC."",""macroCategories"":{""id"":""12"",""name"":""Stazioni Appaltanti e Gestori di pubblici servizi"",""subscribersCount"":10}}"
0,Totale,Autorita' Nazionale Anticorruzione - A.N.AC.,13,Privati,13,"{""id"":""13"",""name"":""Privati"",""subscribersCount"":13}","{""producerName"":""Autorita' Nazionale Anticorruzione - A.N.AC."",""macroCategories"":{""id"":""13"",""name"":""Privati"",""subscribersCount"":13}}"
0,Totale,Ministero del Lavoro e delle Politiche Sociali,1,Altre Pubbliche Amministrazioni locali,1,"{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":1}","{""producerName"":""Ministero del Lavoro e delle Politiche Sociali"",""macroCategories"":{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":1}}"
0,Totale,Ministero del Lavoro e delle Politiche Sociali,6,Enti Nazionali di Previdenza ed Assistenza Sociale,1,"{""id"":""6"",""name"":""Enti Nazionali di Previdenza ed Assistenza Sociale"",""subscribersCount"":1}","{""producerName"":""Ministero del Lavoro e delle Politiche Sociali"",""macroCategories"":{""id"":""6"",""name"":""Enti Nazionali di Previdenza ed Assistenza Sociale"",""subscribersCount"":1}}"
0,Totale,Ministero del Lavoro e delle Politiche Sociali,7,Regioni e Province autonome,2,"{""id"":""7"",""name"":""Regioni e Province autonome"",""subscribersCount"":2}","{""producerName"":""Ministero del Lavoro e delle Politiche Sociali"",""macroCategories"":{""id"":""7"",""name"":""Regioni e Province autonome"",""subscribersCount"":2}}"
0,Totale,Agenzia delle Entrate,1,Altre Pubbliche Amministrazioni locali,1,"{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":1}","{""producerName"":""Agenzia delle Entrate"",""macroCategories"":{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":1}}"
0,Totale,Agenzia delle Entrate,5,Pubbliche Amministrazioni Centrali,1,"{""id"":""5"",""name"":""Pubbliche Amministrazioni Centrali"",""subscribersCount"":1}","{""producerName"":""Agenzia delle Entrate"",""macroCategories"":{""id"":""5"",""name"":""Pubbliche Amministrazioni Centrali"",""subscribersCount"":1}}"
0,Totale,Agenzia delle Entrate,7,Regioni e Province autonome,2,"{""id"":""7"",""name"":""Regioni e Province autonome"",""subscribersCount"":2}","{""producerName"":""Agenzia delle Entrate"",""macroCategories"":{""id"":""7"",""name"":""Regioni e Province autonome"",""subscribersCount"":2}}"
0,Totale,Istituto Nazionale Previdenza Sociale - INPS,3,Comuni,2,"{""id"":""3"",""name"":""Comuni"",""subscribersCount"":2}","{""producerName"":""Istituto Nazionale Previdenza Sociale - INPS"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":2}}"
0,Totale,Istituto Nazionale Previdenza Sociale - INPS,5,Pubbliche Amministrazioni Centrali,1,"{""id"":""5"",""name"":""Pubbliche Amministrazioni Centrali"",""subscribersCount"":1}","{""producerName"":""Istituto Nazionale Previdenza Sociale - INPS"",""macroCategories"":{""id"":""5"",""name"":""Pubbliche Amministrazioni Centrali"",""subscribersCount"":1}}"
0,Totale,Istituto Nazionale Previdenza Sociale - INPS,7,Regioni e Province autonome,1,"{""id"":""7"",""name"":""Regioni e Province autonome"",""subscribersCount"":1}","{""producerName"":""Istituto Nazionale Previdenza Sociale - INPS"",""macroCategories"":{""id"":""7"",""name"":""Regioni e Province autonome"",""subscribersCount"":1}}"
0,Totale,MINISTERO DELL'UNIVERSITA' E DELLA RICERCA,3,Comuni,1,"{""id"":""3"",""name"":""Comuni"",""subscribersCount"":1}","{""producerName"":""MINISTERO DELL'UNIVERSITA' E DELLA RICERCA"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":1}}"
0,Totale,MINISTERO DELL'UNIVERSITA' E DELLA RICERCA,5,Pubbliche Amministrazioni Centrali,1,"{""id"":""5"",""name"":""Pubbliche Amministrazioni Centrali"",""subscribersCount"":1}","{""producerName"":""MINISTERO DELL'UNIVERSITA' E DELLA RICERCA"",""macroCategories"":{""id"":""5"",""name"":""Pubbliche Amministrazioni Centrali"",""subscribersCount"":1}}"
0,Totale,MINISTERO DELL'UNIVERSITA' E DELLA RICERCA,10,Università e AFAM,1,"{""id"":""10"",""name"":""Università e AFAM"",""subscribersCount"":1}","{""producerName"":""MINISTERO DELL'UNIVERSITA' E DELLA RICERCA"",""macroCategories"":{""id"":""10"",""name"":""Università e AFAM"",""subscribersCount"":1}}"
0,Totale,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",1,Altre Pubbliche Amministrazioni locali,2,"{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":2}","{""producerName"":""Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura"",""macroCategories"":{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":2}}"
0,Totale,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",7,Regioni e Province autonome,1,"{""id"":""7"",""name"":""Regioni e Province autonome"",""subscribersCount"":1}","{""producerName"":""Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura"",""macroCategories"":{""id"":""7"",""name"":""Regioni e Province autonome"",""subscribersCount"":1}}"
0,Totale,Comune di Torino,3,Comuni,2,"{""id"":""3"",""name"":""Comuni"",""subscribersCount"":2}","{""producerName"":""Comune di Torino"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":2}}"
1,Altre Pubbliche Amministrazioni locali,Agenzia per L'Italia Digitale,1,Altre Pubbliche Amministrazioni locali,10,"{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":10}","{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":10}}"
1,Altre Pubbliche Amministrazioni locali,Agenzia per L'Italia Digitale,2,Aziende Ospedaliere e ASL,5,"{""id"":""2"",""name"":""Aziende Ospedaliere e ASL"",""subscribersCount"":5}","{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""2"",""name"":""Aziende Ospedaliere e ASL"",""subscribersCount"":5}}"
1,Altre Pubbliche Amministrazioni locali,Agenzia per L'Italia Digitale,3,Comuni,159,"{""id"":""3"",""name"":""Comuni"",""subscribersCount"":159}","{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":159}}"
1,Altre Pubbliche Amministrazioni locali,Agenzia per L'Italia Digitale,4,Province e Città Metropolitane,11,"{""id"":""4"",""name"":""Province e Città Metropolitane"",""subscribersCount"":11}","{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""4"",""name"":""Province e Città Metropolitane"",""subscribersCount"":11}}"
1,Altre Pubbliche Amministrazioni locali,Agenzia per L'Italia Digitale,5,Pubbliche Amministrazioni Centrali,8,"{""id"":""5"",""name"":""Pubbliche Amministrazioni Centrali"",""subscribersCount"":8}","{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""5"",""name"":""Pubbliche Amministrazioni Centrali"",""subscribersCount"":8}}"
1,Altre Pubbliche Amministrazioni locali,Agenzia per L'Italia Digitale,6,Enti Nazionali di Previdenza ed Assistenza Sociale,2,"{""id"":""6"",""name"":""Enti Nazionali di Previdenza ed Assistenza Sociale"",""subscribersCount"":2}","{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""6"",""name"":""Enti Nazionali di Previdenza ed Assistenza Sociale"",""subscribersCount"":2}}"
1,Altre Pubbliche Amministrazioni locali,Agenzia per L'Italia Digitale,7,Regioni e Province autonome,14,"{""id"":""7"",""name"":""Regioni e Province autonome"",""subscribersCount"":14}","{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""7"",""name"":""Regioni e Province autonome"",""subscribersCount"":14}}"
